"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","674","TC-15 should receive an id in the API response after creating a task","webkit","2026-02-22","passed","2026-02-22","Request payload validation","api-behavior.spec.ts","",""
"","836","TC-22 should add five tasks in rapid succession without losing any","firefox","2026-02-22","passed","2026-02-22","Boundary conditions","validation.spec.ts","",""
"","923","TC-06 should mark a task as completed","webkit","2026-02-22","passed","2026-02-22","Task completion toggle","crud.spec.ts","",""
"","356","TC-09 should show only active tasks when Active filter is active","chromium","2026-02-22","passed","2026-02-22","Filtering","crud.spec.ts","",""
"","992","TC-21 should not allow editing a task title to an empty string","webkit","2026-02-22","passed","2026-02-22","Input validation","validation.spec.ts","",""
"","545","TC-22 should add five tasks in rapid succession without losing any","chromium","2026-02-22","passed","2026-02-22","Boundary conditions","validation.spec.ts","",""
"","677","TC-21 should not allow editing a task title to an empty string","firefox","2026-02-22","passed","2026-02-22","Input validation","validation.spec.ts","",""
"","266","TC-14 should send a DELETE request to the correct /todos/:id endpoint","chromium","2026-02-22","passed","2026-02-22","Request payload validation","api-behavior.spec.ts","",""
"","794","TC-14 should send a DELETE request to the correct /todos/:id endpoint","webkit","2026-02-22","passed","2026-02-22","Request payload validation","api-behavior.spec.ts","",""
"","661","TC-13 should PUT the updated title when editing a task","firefox","2026-02-22","passed","2026-02-22","Request payload validation","api-behavior.spec.ts","",""
"","691","TC-08 should show only completed tasks when Completed filter is active","firefox","2026-02-22","passed","2026-02-22","Filtering","crud.spec.ts","",""
"","1234","TC-10 should show all tasks when All filter is selected","webkit","2026-02-22","passed","2026-02-22","Filtering","crud.spec.ts","",""
"","512","TC-18 should not create a task when the input is empty","firefox","2026-02-22","passed","2026-02-22","Input validation","validation.spec.ts","",""
"","491","TC-15 should receive an id in the API response after creating a task","firefox","2026-02-22","passed","2026-02-22","Request payload validation","api-behavior.spec.ts","",""
"","5733","TC-17 should show an error message when the API returns a 500","webkit","2026-02-22","failed","2026-02-22","Resilience to adverse network conditions","api-behavior.spec.ts","",""
"","595","TC-14 should send a DELETE request to the correct /todos/:id endpoint","firefox","2026-02-22","passed","2026-02-22","Request payload validation","api-behavior.spec.ts","",""
"","301","TC-06 should mark a task as completed","chromium","2026-02-22","passed","2026-02-22","Task completion toggle","crud.spec.ts","",""
"","1145","TC-13 should PUT the updated title when editing a task","webkit","2026-02-22","passed","2026-02-22","Request payload validation","api-behavior.spec.ts","",""
"","484","TC-05 should remove a task from the list","chromium","2026-02-22","passed","2026-02-22","Task deletion","crud.spec.ts","",""
